,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,,,,,,,,,
,Version 11.16.5338.19188,,,,,,,,,,,,,,,
,Experiment Setup:,,,,,,,,,,,,,,,
,Connected Hardware:,,,,,,,,,,,,,,,
,,USB Interface REV 1 [1-FTDH63QW],,,,,,,,,,,,,,
,,USB Interface REV 2 [2-FTV64L2L],,,,,,,,,,,,,,
,     Experiment Name: Wolff_2-18-17,,,,,,,,,,,,,,,
,     Experiment Length: 10 Days,,,,,,,,,,,,,,,
,     Download Interval(Active Cycle): 1 Minute,,,,,,,,,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,,,,,,,,,
,     Time Format: H:mm:ss,,,,,,,,,,,,,,,
,     Start Time: 2/18/2017 12:22:59,,,,,,,,,,,,,,,
,     Stop Time: ~2/28/2017 12:22:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15
Counter/Animal ID, , , , , , , , , , , , , , , , 
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 2/18/2017 12:23:00,,,,,,,,,,,,,,,,
Total Counts,82.46,1.09,542.67,24.88,191.74,408.2,0.59,47.24,129.26,76.04,195.88,43.5,70.68,290.32,76.75,396.39
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:43:00,,,,,,,,,,,,,,,,
Interval Count,2.87,0,58.89,0,3.88,5.26,0,11.49,34.46,4.13,46.43,5,0.62,54.04,27.12,54.58
Average m/min.,1.15,0,23.57,0,1.56,2.1,0,4.6,13.78,1.65,18.57,2,0.25,21.61,10.85,21.85
Distance,34.13,0.44,240.63,9.95,78.25,165.38,0.24,23.49,65.49,32.07,96.93,19.4,28.52,137.74,41.55,180.39
Total Counts,85.33,1.09,601.57,24.88,195.62,413.46,0.59,58.72,163.72,80.17,242.32,48.5,71.3,344.36,103.87,450.97
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:44:00,,,,,,,,,,,,,,,,
Interval Count,0.13,0,51.17,0,16.05,3.66,0,42.61,49.89,5.97,0.28,0.05,0,21.51,0.16,19.12
Average m/min.,0.05,0,20.45,0,6.42,1.47,0,17.05,19.97,2.39,0.11,0.02,0,8.61,0.06,7.65
Distance,34.18,0.44,261.09,9.95,84.67,166.85,0.24,40.53,85.45,34.46,97.04,19.42,28.52,146.35,41.61,188.04
Total Counts,85.46,1.09,652.74,24.88,211.67,417.12,0.59,101.33,213.62,86.14,242.59,48.55,71.3,365.87,104.03,470.09
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:45:00,,,,,,,,,,,,,,,,
Interval Count,1.95,0,57.87,0,46.41,11.97,0,39.12,4.2,4.34,0,0.11,0.03,54.38,2.45,39.37
Average m/min.,0.78,0,23.14,0,18.54,4.78,0,15.63,1.68,1.73,0,0.04,0.01,21.74,0.98,15.73
Distance,34.96,0.44,284.24,9.95,103.23,171.64,0.24,56.18,87.13,36.19,97.04,19.46,28.53,168.1,42.59,203.78
Total Counts,87.41,1.09,710.61,24.88,258.08,429.09,0.59,140.45,217.82,90.49,242.59,48.66,71.33,420.25,106.47,509.46
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:46:00,,,,,,,,,,,,,,,,
Interval Count,7.03,0,60.74,0,0,1.37,0,54.95,0,0,0,0.28,1.14,18.26,12.18,27.91
Average m/min.,2.81,0,24.3,0,0,0.54,0,22.01,0,0,0,0.11,0.46,7.31,4.87,11.18
Distance,37.77,0.44,308.54,9.95,103.23,172.18,0.24,78.16,87.13,36.19,97.04,19.57,28.99,175.41,47.46,214.95
Total Counts,94.43,1.09,771.34,24.88,258.08,430.46,0.59,195.39,217.82,90.49,242.59,48.93,72.47,438.51,118.66,537.37
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:47:00,,,,,,,,,,,,,,,,
Interval Count,0.88,0,25.51,0,0,6.92,0,3.88,0,0.04,0.03,0.05,0,2.5,10.34,0
Average m/min.,0.36,0,10.19,0,0,2.77,0,1.55,0,0.02,0.01,0.02,0,1,4.14,0
Distance,38.13,0.44,318.74,9.95,103.23,174.95,0.24,79.71,87.13,36.21,97.05,19.59,28.99,176.41,51.6,214.95
Total Counts,95.32,1.09,796.86,24.88,258.08,437.38,0.59,199.28,217.82,90.53,242.62,48.99,72.47,441.01,129,537.37
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:48:00,,,,,,,,,,,,,,,,
Interval Count,0,0.09,0,0,0.71,3.37,0,0,0,0,0,0,0,8.54,0,0
Average m/min.,0,0.03,0,0,0.29,1.35,0,0,0,0,0,0,0,3.41,0,0
Distance,38.13,0.47,318.74,9.95,103.52,176.3,0.24,79.71,87.13,36.21,97.05,19.59,28.99,179.82,51.6,214.95
Total Counts,95.32,1.18,796.86,24.88,258.79,440.75,0.59,199.28,217.82,90.53,242.62,48.99,72.47,449.55,129,537.37
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:49:00,,,,,,,,,,,,,,,,
Interval Count,0.04,0.62,18.86,0,19.07,6.49,0,3.78,0,0,0.08,0.04,0.18,2.08,37.51,16.87
Average m/min.,0.01,0.25,7.54,0,7.61,2.59,0,1.51,0,0,0.03,0.02,0.07,0.83,15,6.73
Distance,38.14,0.72,326.28,9.95,111.14,178.89,0.24,81.22,87.13,36.21,97.08,19.61,29.06,180.65,66.61,221.69
Total Counts,95.36,1.8,815.71,24.88,277.86,447.24,0.59,203.05,217.82,90.53,242.7,49.03,72.66,451.63,166.51,554.24
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:50:00,,,,,,,,,,,,,,,,
Interval Count,0.43,0,56.97,0,6.68,29.91,0,0,0,0.93,0.07,0.05,0.26,3.16,30.01,1.5
Average m/min.,0.18,0,22.79,0,2.68,11.97,0,0,0,0.37,0.03,0.02,0.11,1.27,12,0.6
Distance,38.32,0.72,349.07,9.95,113.82,190.86,0.24,81.22,87.13,36.58,97.11,19.63,29.17,181.92,78.61,222.29
Total Counts,95.79,1.8,872.68,24.88,284.54,477.14,0.59,203.05,217.82,91.46,242.76,49.08,72.92,454.79,196.53,555.74
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:51:00,,,,,,,,,,,,,,,,
Interval Count,1.72,0,59.03,0,8.54,6.38,0,0.12,0,5.91,0,0,2.05,0,0,0.86
Average m/min.,0.69,0,23.6,0,3.41,2.55,0,0.05,0,2.37,0,0,0.82,0,0,0.35
Distance,39.01,0.72,372.68,9.95,117.23,193.41,0.24,81.27,87.13,38.95,97.11,19.63,29.99,181.92,78.61,222.64
Total Counts,97.51,1.8,931.71,24.88,293.08,483.53,0.59,203.17,217.82,97.37,242.76,49.08,74.97,454.79,196.53,556.59
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:52:00,,,,,,,,,,,,,,,,
Interval Count,0,0,58.53,0,45.75,1.46,0,0,0.21,0,0.09,0.21,0,0.11,0.24,0
Average m/min.,0,0,23.41,0,18.29,0.58,0,0,0.08,0,0.03,0.09,0,0.04,0.1,0
Distance,39.01,0.72,396.09,9.95,135.53,193.99,0.24,81.27,87.21,38.95,97.14,19.72,29.99,181.96,78.71,222.64
Total Counts,97.51,1.8,990.24,24.88,338.83,484.99,0.59,203.17,218.03,97.37,242.86,49.29,74.97,454.89,196.76,556.59
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:53:00,,,,,,,,,,,,,,,,
Interval Count,3.88,0,61.22,0,53.07,0.07,0,0,0,0,0,0,0,35.92,11.46,0.03
Average m/min.,1.55,0,24.48,0,21.23,0.03,0,0,0,0,0,0,0,14.36,4.58,0.01
Distance,40.56,0.72,420.58,9.95,156.76,194.02,0.24,81.27,87.21,38.95,97.14,19.72,29.99,196.33,83.29,222.65
Total Counts,101.39,1.8,1051.46,24.88,391.89,485.05,0.59,203.17,218.03,97.37,242.86,49.29,74.97,490.82,208.22,556.62
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:54:01,,,,,,,,,,,,,,,,
Interval Count,29.09,0,61.09,0,8.58,1.39,0,0,0,0.13,0.04,0,0.14,56.97,0.45,11.07
Average m/min.,11.63,0,24.42,0,3.43,0.56,0,0,0,0.05,0.02,0,0.06,22.78,0.18,4.41
Distance,52.19,0.72,445.02,9.95,160.19,194.58,0.24,81.27,87.21,39,97.16,19.72,30.05,219.12,83.47,227.07
Total Counts,130.49,1.8,1112.55,24.88,400.47,486.45,0.59,203.17,218.03,97.5,242.89,49.29,75.12,547.79,208.67,567.68
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:55:00,,,,,,,,,,,,,,,,
Interval Count,12.72,0,8.34,0,17.25,15.7,0,0,0,0.03,0,0,0,0.61,0,3.87
Average m/min.,5.09,0,3.34,0,6.91,6.29,0,0,0,0.01,0,0,0,0.24,0,1.55
Distance,57.28,0.72,448.36,9.95,167.09,200.86,0.24,81.27,87.21,39.01,97.16,19.72,30.05,219.36,83.47,228.62
Total Counts,143.21,1.8,1120.89,24.88,417.72,502.14,0.59,203.17,218.03,97.53,242.89,49.29,75.12,548.39,208.67,571.55
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:56:01,,,,,,,,,,,,,,,,
Interval Count,15.17,0,0.01,0,1,31.88,0.01,0,0,0.01,0.36,0,0,45.25,0,10.05
Average m/min.,6.07,0,0,0,0.4,12.74,0,0,0,0.01,0.14,0,0,18.09,0,4.02
Distance,63.35,0.72,448.36,9.95,167.49,213.61,0.24,81.27,87.21,39.02,97.3,19.72,30.05,237.46,83.47,232.64
Total Counts,158.38,1.8,1120.91,24.88,418.72,534.03,0.61,203.17,218.03,97.54,243.25,49.29,75.12,593.64,208.67,581.61
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:57:00,,,,,,,,,,,,,,,,
Interval Count,26.13,0,0,0,0,37.87,0.01,0,0,0,0.13,0,0,44.41,0,5.88
Average m/min.,10.46,0,0,0,0,15.16,0.01,0,0,0,0.05,0,0,17.76,0,2.35
Distance,73.81,0.72,448.36,9.95,167.49,228.76,0.25,81.27,87.21,39.02,97.35,19.72,30.05,255.22,83.47,234.99
