Test	Animal	Treatment	Code	Stage	Trial	Apparatus	Segment of test	Duration	Distance	Mean speed	Line crossings	Max speed	A : entries	A : time	A : distance	A : average speed	A : mean visit	A : mean distance to border	A : time getting closer to zone	A : time getting further from zone	B : entries	B : time	B : distance	B : average speed	B : mean visit	B : mean distance to border	B : time getting closer to zone	B : time getting further from zone	C : entries	C : time	C : distance	C : average speed	C : mean visit	C : mean distance to border	C : time getting closer to zone	C : time getting further from zone	A0 : entries	A0 : time	A0 : mean distance to border	A0 : time getting closer to zone	A0 : time getting further from zone	Center : entries	Center : time	Center : time getting closer to zone	Center : time getting further from zone	Group
4	4	A	A	First stage	1	Y Maze Wolff	242 - 243 secs.	1.0	0.034	0.034	0	0.112	0	0.0	0.000				0.6	0.1	0	0.0	0.000				0.7	0.0	0	1.0	0.034	0.087	1.0	0.035	0.0	0.0	0	0.0		0.6	0.1	0	0.0	0.7	0.0	Sham
4	4	A	A	First stage	1	Y Maze Wolff	243 - 244 secs.	1.0	0.167	0.167	1	0.237	0	0.0	0.000				1.0	0.0	0	0.0	0.000				0.9	0.0	0	0.7	0.167	0.122	0.7	0.015	0.0	0.2	0	0.0		1.0	0.0	1	0.3	0.6	0.0	Sham
4	4	A	A	First stage	1	Y Maze Wolff	244 - 245 secs.	1.0	0.138	0.138	1	0.162	1	0.8	0.096	0.185	0.8	0.023	0.1	0.0	0	0.0	0.000				0.1	0.7	0	0.0	0.000				0.0	0.9	0	0.0		0.9	0.0	0	0.2	0.0	0.7	Sham
4	4	A	A	First stage	1	Y Maze Wolff	245 - 246 secs.	1.0	0.053	0.053	0	0.139	0	1.0	0.053	0.054	1.0	0.033	0.0	0.0	0	0.0	0.000				0.2	0.7	0	0.0	0.000				0.4	0.6	0	0.0		0.6	0.2	0	0.0	0.2	0.6	Sham
4	4	A	A	First stage	1	Y Maze Wolff	246 - 247 secs.	1.0	0.096	0.096	0	0.150	0	1.0	0.096	0.114	1.0	0.037	0.0	0.0	0	0.0	0.000				0.0	1.0	0	0.0	0.000				0.1	0.9	0	0.0		0.9	0.0	0	0.0	0.1	0.9	Sham
4	4	A	A	First stage	1	Y Maze Wolff	247 - 248 secs.	1.0	0.040	0.040	0	0.115	0	1.0	0.040	0.000	1.0	0.033	0.0	0.0	0	0.0	0.000				0.5	0.4	0	0.0	0.000				0.5	0.4	0	0.0		0.4	0.5	0	0.0	0.5	0.4	Sham
4	4	A	A	First stage	1	Y Maze Wolff	248 - 249 secs.	1.0	0.091	0.091	1	0.151	0	0.2	0.026	0.000	0.2	0.007	0.0	0.8	0	0.0	0.000				0.0	1.0	0	0.0	0.000				0.0	1.0	1	0.8	0.034	0.0	0.0	0	0.0	0.0	1.0	Sham
4	4	A	A	First stage	1	Y Maze Wolff	249 - 250 secs.	1.0	0.000	0.000	0	0.029	0	0.0	0.000				0.4	0.2	0	0.0	0.000				0.5	0.4	0	0.0	0.000				0.5	0.3	0	1.0	0.032	0.0	0.0	0	0.0	0.4	0.2	Sham
4	4	A	A	First stage	1	Y Maze Wolff	250 - 251 secs.	1.0	0.074	0.074	0	0.186	0	0.0	0.000				0.3	0.5	0	0.0	0.000				0.3	0.5	0	0.0	0.000				0.3	0.5	0	1.0	0.035	0.0	0.0	0	0.0	0.3	0.5	Sham
4	4	A	A	First stage	1	Y Maze Wolff	251 - 252 secs.	1.0	0.000	0.000	0	0.051	0	0.0	0.000				0.2	0.5	0	0.0	0.000				0.2	0.5	0	0.0	0.000				0.2	0.5	0	1.0	0.035	0.0	0.0	0	0.0	0.2	0.5	Sham
4	4	A	A	First stage	1	Y Maze Wolff	252 - 253 secs.	1.0	0.000	0.000	0	0.028	0	0.0	0.000				0.5	0.0	0	0.0	0.000				0.6	0.1	0	0.0	0.000				0.6	0.2	0	1.0	0.038	0.0	0.0	0	0.0	0.6	0.0	Sham
4	4	A	A	First stage	1	Y Maze Wolff	253 - 254 secs.	1.0	0.111	0.111	0	0.150	0	0.0	0.000				0.9	0.0	0	0.0	0.000				0.9	0.0	0	0.0	0.000				0.9	0.0	0	1.0	0.032	0.0	0.0	0	0.0	0.9	0.0	Sham
4	4	A	A	First stage	1	Y Maze Wolff	254 - 255 secs.	1.0	0.225	0.225	1	0.292	1	0.8	0.185	0.317	0.8	0.030	0.0	0.0	0	0.0	0.000				1.0	0.0	0	0.0	0.000				1.0	0.0	0	0.2	0.012	0.0	0.8	0	0.0	1.0	0.0	Sham
4	4	A	A	First stage	1	Y Maze Wolff	255 - 256 secs.	1.0	0.032	0.032	0	0.181	0	1.0	0.032	0.024	1.0	0.024	0.0	0.0	0	0.0	0.000				0.5	0.4	0	0.0	0.000				0.5	0.4	0	0.0		0.4	0.5	0	0.0	0.5	0.4	Sham
4	4	A	A	First stage	1	Y Maze Wolff	256 - 257 secs.	1.0	0.084	0.084	0	0.160	0	1.0	0.084	0.087	1.0	0.027	0.0	0.0	0	0.0	0.000				0.0	0.9	0	0.0	0.000				0.0	0.9	0	0.0		0.9	0.0	0	0.0	0.0	0.9	Sham
4	4	A	A	First stage	1	Y Maze Wolff	257 - 258 secs.	1.0	0.000	0.000	0	0.144	0	1.0	0.000	0.035	1.0	0.026	0.0	0.0	0	0.0	0.000				0.5	0.4	0	0.0	0.000				0.4	0.5	0	0.0		0.4	0.5	0	0.0	0.5	0.4	Sham
4	4	A	A	First stage	1	Y Maze Wolff	258 - 259 secs.	1.0	0.138	0.138	0	0.220	0	1.0	0.138	0.108	1.0	0.030	0.0	0.0	0	0.0	0.000				0.0	0.9	0	0.0	0.000				0.1	0.8	0	0.0		0.8	0.0	0	0.0	0.1	0.8	Sham
4	4	A	A	First stage	1	Y Maze Wolff	259 - 260 secs.	1.0	0.041	0.041	1	0.169	0	0.1	0.000	1.351	0.1	0.014	0.1	0.6	0	0.0	0.000				0.2	0.8	0	0.0	0.000				0.2	0.8	1	1.0	0.030	0.0	0.0	0	0.0	0.1	0.6	Sham
4	4	A	A	First stage	1	Y Maze Wolff	260 - 261 secs.	1.0	0.000	0.000	0	0.042	0	0.0	0.000				0.8	0.0	0	0.0	0.000				0.9	0.0	0	0.0	0.000				0.8	0.1	0	1.0	0.026	0.0	0.0	0	0.0	0.8	0.0	Sham
4	4	A	A	First stage	1	Y Maze Wolff	261 - 262 secs.	1.0	0.061	0.061	1	0.119	1	0.4	0.031	0.177	0.4	0.017	0.2	0.0	0	0.0	0.000				0.7	0.3	0	0.0	0.000				0.9	0.0	0	0.6	0.022	0.0	0.3	0	0.0	0.7	0.0	Sham
4	4	A	A	First stage	1	Y Maze Wolff	262 - 263 secs.	1.0	0.000	0.000	0	0.083	0	1.0	0.000	0.000	1.0	0.032	0.0	0.0	0	0.0	0.000				0.2	0.6	0	0.0	0.000				0.2	0.6	0	0.0		0.6	0.2	0	0.0	0.2	0.6	Sham
4	4	A	A	First stage	1	Y Maze Wolff	263 - 264 secs.	1.0	0.000	0.000	0	0.033	0	1.0	0.000	0.000	1.0	0.027	0.0	0.0	0	0.0	0.000				0.6	0.2	0	0.0	0.000				0.5	0.3	0	0.0		0.2	0.5	0	0.0	0.5	0.2	Sham
4	4	A	A	First stage	1	Y Maze Wolff	264 - 265 secs.	1.0	0.153	0.153	0	0.311	0	1.0	0.153	0.162	1.0	0.028	0.0	0.0	0	0.0	0.000				0.7	0.2	0	0.0	0.000				0.7	0.2	0	0.0		0.2	0.7	0	0.0	0.7	0.2	Sham
