Test	Animal	Treatment	Code	Apparatus	Time	Animal notes	Segment of test	WholeArena : time	WholeArena : distance	WholeArena : average speed	WholeArena : time mobile	WholeArena : time immobile	WholeArena : immobile episodes	Edge10cm : time	Edge10cm : distance	Edge10cm : time mobile	Edge10cm : time immobile	Edge10cm : immobile episodes	Edge10cm : freezing episodes	Edge10cm : time freezing	Center30cm : time	Center30cm : distance	Center30cm : time mobile	Center30cm : time immobile	Center30cm : freezing episodes	Center30cm : time freezing	ID	DOB	Group
1	1	A	A	Field1	14:04		99 - 100 secs.	1.0	0.021	0.025	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.021	1.0	0.0	1	0.3	1		sham
1	1	A	A	Field1	14:04		100 - 101 secs.	1.0	0.000	0.050	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.000	1.0	0.0	0	0.6	1		sham
1	1	A	A	Field1	14:04		101 - 102 secs.	1.0	0.000	0.041	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.000	1.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		102 - 103 secs.	1.0	0.019	0.022	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.019	1.0	0.0	1	0.4	1		sham
1	1	A	A	Field1	14:04		103 - 104 secs.	1.0	0.020	0.048	0.6	0.4	1	0.8	0.020	0.6	0.3	1	1	0.1	0.2	0.000	0.1	0.1	0	0.0	1		sham
1	1	A	A	Field1	14:04		104 - 105 secs.	1.0	0.000	0.000	0.0	1.0	0	1.0	0.000	0.0	1.0	0	0	1.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		105 - 106 secs.	1.0	0.000	0.029	0.0	1.0	0	1.0	0.000	0.0	1.0	0	0	0.8	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		106 - 107 secs.	1.0	0.000	0.028	0.1	0.9	0	1.0	0.000	0.1	0.9	0	1	0.7	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		107 - 108 secs.	1.0	0.019	0.051	0.4	0.6	1	1.0	0.019	0.4	0.6	1	0	0.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		108 - 109 secs.	1.0	0.000	0.019	0.0	1.0	0	1.0	0.000	0.0	1.0	0	1	0.7	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		109 - 110 secs.	1.0	0.000	0.000	0.0	1.0	0	1.0	0.000	0.0	1.0	0	0	1.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		110 - 111 secs.	1.0	0.000	0.029	0.6	0.4	0	1.0	0.000	0.6	0.4	0	1	0.4	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		111 - 112 secs.	1.0	0.022	0.053	1.0	0.0	0	1.0	0.022	1.0	0.0	0	0	0.1	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		112 - 113 secs.	1.0	0.022	0.022	1.0	0.0	0	1.0	0.022	1.0	0.0	0	0	0.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		113 - 114 secs.	1.0	0.021	0.020	1.0	0.0	0	1.0	0.021	1.0	0.0	0	0	0.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		114 - 115 secs.	1.0	0.128	0.137	1.0	0.0	0	1.0	0.128	1.0	0.0	0	0	0.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		115 - 116 secs.	1.0	0.051	0.051	0.3	0.7	1	1.0	0.051	0.3	0.7	1	1	0.3	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		116 - 117 secs.	1.0	0.000	0.020	0.0	1.0	0	1.0	0.000	0.0	1.0	0	0	0.3	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		117 - 118 secs.	1.0	0.021	0.024	0.4	0.6	0	1.0	0.021	0.4	0.6	0	2	0.5	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		118 - 119 secs.	1.0	0.039	0.109	1.0	0.0	0	1.0	0.039	1.0	0.0	0	0	0.4	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		119 - 120 secs.	1.0	0.030	0.024	1.0	0.0	0	1.0	0.030	1.0	0.0	0	1	0.7	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		120 - 121 secs.	1.0	0.143	0.160	1.0	0.0	0	0.6	0.079	0.6	0.0	0	0	0.1	0.4	0.064	0.4	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		121 - 122 secs.	1.0	0.127	0.146	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.127	1.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		122 - 123 secs.	1.0	0.155	0.187	1.0	0.0	0	0.4	0.021	0.4	0.0	0	0	0.0	0.7	0.135	0.7	0.0	0	0.0	1		sham
