Day	Date	Time	201808 reversal1-25:Irrad	201808 reversal1-26:Sham	201808 reversal1-28:Irrad	201809 reversal-13:Sham	201809 reversal-14:Irrad	201809 reversal-15:Irrad	201809 reversal-16:Sham	201810 reversal-17:Sham	201810 reversal-18:Irrad	201810 reversal-20:Sham	201811 reversal1-17:Irrad	201811 reversal1-18:Sham	201811 reversal1-20:Irrad	201811 reversal2-21:Irrad	201811 reversal2-22:Sham	201811 reversal2-23:Sham	201811 reversal2-24:Irrad	201812 reversal-1:Sham	201812 reversal-2:Irrad	201812 reversal-3:Sham	201812 reversal-4:Irrad
-3	1950-05-29	08:56	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	200.145	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	136.218
-3	1950-05-29	08:57	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	57.548	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	152.403
-3	1950-05-29	08:58	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.708	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	132.374
-3	1950-05-29	08:59	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	103.560	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	79.354
-3	1950-05-29	09:00	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	136.901	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:01	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21.780	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:02	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	99.562	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:03	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	123.347	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:04	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	43.493	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:05	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	09:06	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
