Test	Animal	Treatment	Code	Stage	Trial	Apparatus	Segment of test	Distance	Mean speed	Time mobile	Time immobile	A : entries	A : time	A : distance	A : mean distance from	A : mean distance to border	B : entries	B : time	B : distance	B : mean distance from	B : mean distance to border	C : entries	C : time	C : distance	C : mean distance from	C : mean distance to border	A0 : entries	A0 : time	A0 : distance	A0 : mean distance from	A0 : mean distance to border	Center : entries	Center : time	Center : distance	Center : mean distance from	Center : mean distance to border	Group	ID
18	18	A	A	First stage	1	Y Maze Wolff	238 - 239 secs.	0.042	0.042	1.0	0.0	0	0.0	0.000	0.026		0	0.0	0.000	0.385		0	0.0	0.000	0.372		0	1.0	0.042		0.020	0	0.0	0.000	0.324		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	239 - 240 secs.	0.102	0.102	1.0	0.0	1	0.9	0.047	0.028	0.019	0	0.0	0.000	0.317		0	0.0	0.000	0.299		0	0.1	0.055	0.059	0.012	0	0.0	0.000	0.255		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	240 - 241 secs.	0.081	0.081	0.6	0.4	0	1.0	0.081		0.018	0	0.0	0.000	0.242		0	0.0	0.000	0.226		0	0.0	0.000	0.121		0	0.0	0.000	0.181		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	241 - 242 secs.	0.000	0.000	0.0	1.0	0	1.0	0.000		0.016	0	0.0	0.000	0.217		0	0.0	0.000	0.199		0	0.0	0.000	0.148		0	0.0	0.000	0.155		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	242 - 243 secs.	0.000	0.000	0.0	1.0	0	1.0	0.000		0.014	0	0.0	0.000	0.215		0	0.0	0.000	0.195		0	0.0	0.000	0.150		0	0.0	0.000	0.152		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	243 - 244 secs.	0.041	0.041	0.4	0.6	0	1.0	0.041		0.017	0	0.0	0.000	0.234		0	0.0	0.000	0.217		0	0.0	0.000	0.130		0	0.0	0.000	0.172		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	244 - 245 secs.	0.074	0.074	0.9	0.2	0	1.0	0.074		0.014	0	0.0	0.000	0.297		0	0.0	0.000	0.276		0	0.0	0.000	0.069		0	0.0	0.000	0.234		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	245 - 246 secs.	0.000	0.000	0.0	1.0	0	1.0	0.000		0.015	0	0.0	0.000	0.326		0	0.0	0.000	0.305		0	0.0	0.000	0.040		0	0.0	0.000	0.262		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	246 - 247 secs.	0.000	0.000	0.0	1.0	0	1.0	0.000		0.015	0	0.0	0.000	0.329		0	0.0	0.000	0.308		0	0.0	0.000	0.037		0	0.0	0.000	0.266		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	247 - 248 secs.	0.076	0.076	0.2	0.8	0	0.9	0.076	0.034	0.015	0	0.0	0.000	0.339		0	0.0	0.000	0.318		1	0.1	0.000	0.032	0.011	0	0.0	0.000	0.275		Irrad-Wheel	12
