,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1-FTDH63QW]
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: 3-31-17_SR_OF
,     Experiment Length: 6 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 3/31/2017 12:59:28
,     Stop Time: ~4/6/2017 12:59:28


Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, , , , , , , , , , , , , , , , ,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



Total Counts,72.07,633.84,266.99,527.66,183.58,100.42,221.91,364.42,29.92,16.95,129.76,149.86,18.21,102.72,276.26,421.16,


 13:20:59
Interval Count,0.00,32.08,38.93,49.36,14.72,0.00,2.89,37.93,0.00,0.00,1.08,13.63,13.96,0.00,0.01,3.09,
Average m/min.,0.00,12.83,15.59,19.76,5.90,0.00,1.16,15.17,0.00,0.00,0.43,5.45,5.59,0.00,0.00,1.24,
Distance,28.83,266.37,122.37,230.81,79.32,40.17,89.92,160.94,11.97,6.78,52.34,65.39,12.87,41.09,110.51,169.70,
Total Counts,72.07,665.92,305.92,577.01,198.30,100.42,224.80,402.36,29.92,16.95,130.84,163.49,32.17,102.72,276.28,424.25,


 13:21:59
Interval Count,0.00,57.95,50.59,45.22,3.95,0.00,0.01,47.71,0.00,0.00,3.32,8.66,1.42,0.00,0.11,39.37,
Average m/min.,0.00,23.17,20.23,18.07,1.58,0.00,0.01,19.10,0.00,0.00,1.32,3.47,0.57,0.00,0.04,15.74,
Distance,28.83,289.55,142.61,248.89,80.90,40.17,89.93,180.03,11.97,6.78,53.66,68.86,13.44,41.09,110.55,185.45,
Total Counts,72.07,723.87,356.51,622.24,202.25,100.42,224.82,450.07,29.92,16.95,134.16,172.14,33.59,102.72,276.38,463.62,


 13:22:59
Interval Count,0.00,43.99,55.64,64.32,2.70,0.00,8.68,8.17,0.00,0.00,0.76,1.03,3.66,0.16,26.75,44.82,
Average m/min.,0.00,17.58,22.24,25.71,1.08,0.00,3.47,3.26,0.00,0.00,0.31,0.41,1.46,0.06,10.69,17.90,
Distance,28.83,307.14,164.86,274.62,81.98,40.17,93.40,183.29,11.97,6.78,53.97,69.27,14.90,41.15,121.25,203.37,
Total Counts,72.07,767.86,412.16,686.55,204.95,100.42,233.50,458.24,29.92,16.95,134.92,173.17,37.25,102.88,303.13,508.43,


 13:23:59
Interval Count,0.00,55.61,4.61,59.87,0.41,0.00,13.03,37.18,0.00,0.00,3.76,7.61,19.20,18.37,33.99,2.51,
Average m/min.,0.00,22.24,1.85,23.97,0.16,0.00,5.21,14.89,0.00,0.00,1.50,3.04,7.68,7.35,13.61,1.01,
Distance,28.83,329.38,166.71,298.57,82.14,40.17,98.61,198.17,11.97,6.78,55.47,72.31,22.58,48.50,134.85,204.38,
Total Counts,72.07,823.46,416.76,746.42,205.36,100.42,246.53,495.42,29.92,16.95,138.68,180.78,56.45,121.25,337.12,510.95,


 13:24:59
Interval Count,0.00,51.70,3.68,48.99,28.01,0.00,0.89,58.25,0.00,0.12,0.00,3.05,4.34,0.00,53.16,53.79,
Average m/min.,0.00,20.67,1.47,19.58,11.21,0.00,0.36,23.30,0.00,0.05,0.00,1.22,1.74,0.00,21.25,21.50,
Distance,28.83,350.06,168.18,318.16,93.35,40.17,98.97,221.47,11.97,6.83,55.47,73.53,24.32,48.50,156.11,225.89,
Total Counts,72.07,875.16,420.45,795.41,233.37,100.42,247.42,553.67,29.92,17.07,138.68,183.83,60.79,121.25,390.28,564.74,


 13:25:59
Interval Count,0.00,0.37,14.17,46.08,23.25,0.00,11.55,53.66,0.00,0.09,0.39,0.74,0.00,0.00,58.05,14.47,
Average m/min.,0.00,0.15,5.67,18.42,9.29,0.00,4.61,21.43,0.00,0.03,0.16,0.30,0.00,0.00,23.22,5.79,
Distance,28.83,350.21,173.85,336.59,102.65,40.17,103.59,242.93,11.97,6.86,55.63,73.83,24.32,48.50,179.33,231.68,
Total Counts,72.07,875.53,434.62,841.49,256.62,100.42,258.97,607.33,29.92,17.16,139.08,184.57,60.79,121.25,448.33,579.21,


 13:26:59
Interval Count,0.00,45.86,0.17,0.00,1.24,0.00,22.82,11.08,0.00,0.03,0.75,8.04,0.00,0.00,50.78,37.93,
Average m/min.,0.00,18.34,0.07,0.00,0.49,0.00,9.14,4.43,0.00,0.01,0.30,3.21,0.00,0.00,20.31,15.19,
Distance,28.83,368.55,173.92,336.59,103.14,40.17,112.72,247.36,11.97,6.87,55.93,77.04,24.32,48.50,199.64,246.86,
Total Counts,72.07,921.38,434.79,841.49,257.86,100.42,281.79,618.41,29.92,17.18,139.83,192.61,60.79,121.25,499.11,617.14,


 13:27:59
