,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1-FTDH63QW]
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_OF_3-13-17
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 3/22/2017 17:19:43
,     Stop Time: ~4/1/2017 17:19:43


Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, , , , , , , , , , , , , , , , ,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



Total Counts,138.63,163.63,55.16,284.38,130.63,48.92,0.05,166.74,17.33,23.01,55.13,71.63,16.82,76.32,33.16,167.39,


 17:37:14
Interval Count,1.87,5.86,0.00,23.84,0.00,0.00,0.00,23.54,0.00,2.34,0.00,8.89,0.11,0.14,0.66,7.13,
Average m/min.,0.75,2.34,0.00,9.54,0.00,0.00,0.00,9.41,0.00,0.93,0.00,3.56,0.04,0.05,0.27,2.85,
Distance,56.20,67.79,22.06,123.29,52.25,19.57,0.02,76.11,6.93,10.14,22.05,32.21,6.77,30.58,13.53,69.81,
Total Counts,140.50,169.49,55.16,308.22,130.63,48.92,0.05,190.28,17.33,25.36,55.13,80.53,16.92,76.46,33.82,174.53,


 17:38:14
Interval Count,0.04,0.00,0.00,48.74,1.34,0.00,0.00,2.95,0.04,2.22,0.00,7.87,0.00,1.99,2.00,25.49,
Average m/min.,0.02,0.00,0.00,19.48,0.54,0.00,0.00,1.18,0.02,0.89,0.00,3.15,0.00,0.80,0.80,10.20,
Distance,56.22,67.79,22.06,142.78,52.79,19.57,0.02,77.29,6.95,11.03,22.05,35.36,6.77,31.38,14.33,80.01,
Total Counts,140.54,169.49,55.16,356.96,131.97,48.92,0.05,193.22,17.37,27.58,55.13,88.39,16.92,78.45,35.82,200.01,


 17:39:14
Interval Count,0.51,0.00,0.00,43.37,1.51,0.00,0.00,12.12,11.84,1.21,0.00,9.03,8.95,1.20,6.37,6.38,
Average m/min.,0.20,0.00,0.00,17.36,0.60,0.00,0.00,4.85,4.73,0.49,0.00,3.61,3.58,0.48,2.54,2.55,
Distance,56.42,67.79,22.06,160.13,53.39,19.57,0.02,82.14,11.68,11.52,22.05,38.97,10.35,31.86,16.87,82.56,
Total Counts,141.05,169.49,55.16,400.33,133.49,48.92,0.05,205.34,29.21,28.79,55.13,97.42,25.87,79.64,42.18,206.39,


 17:40:14
Interval Count,1.49,0.00,0.00,0.01,0.09,0.00,0.00,23.75,0.00,0.79,0.28,10.55,6.00,9.99,35.71,0.57,
Average m/min.,0.60,0.00,0.00,0.01,0.04,0.00,0.00,9.50,0.00,0.31,0.11,4.22,2.40,3.99,14.28,0.22,
Distance,57.02,67.79,22.06,160.14,53.43,19.57,0.02,91.64,11.68,11.83,22.16,43.19,12.75,35.85,31.16,82.78,
Total Counts,142.54,169.49,55.16,400.34,133.58,48.92,0.05,229.09,29.21,29.58,55.41,107.97,31.87,89.63,77.89,206.96,


 17:41:14
Interval Count,0.00,1.13,0.00,50.41,0.00,0.00,0.00,60.74,0.50,3.08,0.37,11.68,0.00,0.16,40.18,26.55,
Average m/min.,0.00,0.46,0.00,20.17,0.00,0.00,0.00,24.29,0.20,1.23,0.15,4.67,0.00,0.07,16.08,10.64,
Distance,57.02,68.25,22.06,180.30,53.43,19.57,0.02,115.93,11.88,13.06,22.31,47.86,12.75,35.92,47.23,93.41,
