,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1-FTDH63QW]
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_Y_maze_8-15-17
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 9/2/2017 15:39:45
,     Stop Time: ~9/12/2017 15:39:45


Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, 16, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



Average m/min.,9.14,0.00,0.00,0.00,0.81,1.27,0.00,0.00,0.00,0.51,0.00,2.46,0.64,0.77,2.41,0.00,
Distance,106.22,144.98,54.26,55.71,38.44,6.86,0.01,2.50,30.75,9.20,106.56,26.62,74.25,45.28,30.27,0.02,
Total Counts,265.55,362.46,135.64,139.26,96.09,17.16,0.01,6.25,76.88,23.00,266.41,66.54,185.62,113.21,75.67,0.05,


 16:01:17
Interval Count,0.00,0.00,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,4.14,0.00,14.87,3.95,0.00,
Average m/min.,0.00,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,1.65,0.00,5.95,1.58,0.00,
Distance,106.22,144.98,54.77,55.71,38.44,6.86,0.01,2.50,30.75,9.20,106.61,28.27,74.25,51.23,31.85,0.02,
Total Counts,265.55,362.46,136.93,139.26,96.09,17.16,0.01,6.25,76.88,23.00,266.51,70.68,185.62,128.08,79.62,0.05,


 16:02:17
Interval Count,0.21,0.00,0.00,0.00,0.00,0.34,0.00,0.00,0.00,0.00,11.70,0.17,0.50,4.82,0.00,0.00,
Average m/min.,0.09,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,4.67,0.07,0.20,1.93,0.00,0.00,
Distance,106.31,144.98,54.77,55.71,38.44,7.00,0.01,2.50,30.75,9.20,111.28,28.34,74.45,53.16,31.85,0.02,
Total Counts,265.76,362.46,136.93,139.26,96.09,17.50,0.01,6.25,76.88,23.00,278.21,70.86,186.12,132.89,79.62,0.05,


 16:03:17
Interval Count,0.95,1.75,0.00,0.45,0.00,2.11,0.00,1.28,1.13,0.00,31.24,0.00,4.91,0.00,0.54,0.00,
Average m/min.,0.37,0.70,0.00,0.17,0.00,0.84,0.00,0.51,0.46,0.00,12.50,0.00,1.96,0.00,0.21,0.00,
Distance,106.68,145.68,54.77,55.88,38.44,7.84,0.01,3.01,31.21,9.20,123.78,28.34,76.41,53.16,32.06,0.02,
Total Counts,266.71,364.21,136.93,139.71,96.09,19.61,0.01,7.53,78.01,23.00,309.45,70.86,191.03,132.89,80.16,0.05,


 16:04:17
Interval Count,0.68,4.36,0.00,0.00,0.00,0.00,0.00,2.13,28.53,0.00,39.97,0.63,0.00,0.00,3.86,0.00,
Average m/min.,0.28,1.75,0.00,0.00,0.00,0.00,0.00,0.85,11.41,0.00,15.98,0.25,0.00,0.00,1.55,0.00,
Distance,106.96,147.43,54.77,55.88,38.44,7.84,0.01,3.86,42.62,9.20,139.77,28.59,76.41,53.16,33.61,0.02,
Total Counts,267.39,368.57,136.93,139.71,96.09,19.61,0.01,9.66,106.54,23.00,349.42,71.49,191.03,132.89,84.01,0.05,


 16:05:17
Interval Count,5.92,0.43,0.00,0.00,0.00,0.00,0.00,0.00,57.72,0.00,51.36,2.71,3.14,0.00,0.00,0.00,
Average m/min.,2.37,0.17,0.00,0.00,0.00,0.00,0.00,0.00,23.09,0.00,20.54,1.09,1.26,0.00,0.00,0.00,
Distance,109.33,147.60,54.77,55.88,38.44,7.84,0.01,3.86,65.71,9.20,160.31,29.68,77.67,53.16,33.61,0.02,
Total Counts,273.32,369.00,136.93,139.71,96.09,19.61,0.01,9.66,164.26,23.00,400.78,74.20,194.17,132.89,84.01,0.05,


 16:06:17
Interval Count,4.05,0.00,0.00,0.00,0.00,1.51,0.00,0.00,53.29,0.00,7.70,0.00,10.95,0.00,0.00,0.00,
Average m/min.,1.62,0.00,0.00,0.00,0.00,0.61,0.00,0.00,21.30,0.00,3.08,0.00,4.38,0.00,0.00,0.00,
Distance,110.95,147.60,54.77,55.88,38.44,8.45,0.01,3.86,87.02,9.20,163.39,29.68,82.05,53.16,33.61,0.02,
Total Counts,277.37,369.00,136.93,139.71,96.09,21.12,0.01,9.66,217.55,23.00,408.47,74.20,205.12,132.89,84.01,0.05,


 16:07:17
Interval Count,17.14,0.64,0.00,0.00,0.00,0.64,0.00,0.00,26.47,0.00,34.33,0.00,30.16,3.14,0.00,0.00,
Average m/min.,6.86,0.26,0.00,0.00,0.00,0.26,0.00,0.00,10.59,0.00,13.73,0.00,12.06,1.26,0.00,0.00,
Distance,117.81,147.86,54.77,55.88,38.44,8.71,0.01,3.86,97.61,9.20,177.12,29.68,94.11,54.42,33.61,0.02,
Total Counts,294.51,369.64,136.93,139.71,96.09,21.76,0.01,9.66,244.03,23.00,442.80,74.20,235.28,136.04,84.01,0.05,


 16:08:17
Interval Count,2.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.22,0.00,0.86,1.64,0.00,0.00,
Average m/min.,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.09,0.00,0.34,0.65,0.00,0.00,
Distance,118.88,147.86,54.77,55.88,38.44,8.71,0.01,3.86,97.61,9.20,179.21,29.68,94.45,55.07,33.61,0.02,
Total Counts,297.20,369.64,136.93,139.71,96.09,21.76,0.01,9.66,244.03,23.00,448.03,74.20,236.13,137.68,84.01,0.05,


 16:09:17
Interval Count,4.21,0.00,0.00,0.00,0.00,5.33,0.00,0.00,0.00,0.00,2.72,0.00,17.26,0.00,1.68,0.00,
Average m/min.,1.68,0.00,0.00,0.00,0.00,2.13,0.00,0.00,0.00,0.00,1.09,0.00,6.91,0.00,0.67,0.00,
Distance,120.56,147.86,54.77,55.88,38.44,10.84,0.01,3.86,97.61,9.20,180.30,29.68,101.36,55.07,34.28,0.02,
Total Counts,301.41,369.64,136.93,139.71,96.09,27.09,0.01,9.66,244.03,23.00,450.75,74.20,253.39,137.68,85.70,0.05,


 16:10:17
Interval Count,22.43,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,11.82,0.00,63.88,0.00,0.00,0.00,
Average m/min.,8.98,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,4.73,0.00,25.53,0.00,0.00,0.00,
Distance,129.54,147.86,54.77,55.88,38.44,11.01,0.01,3.86,97.61,9.20,185.03,29.68,126.91,55.07,34.28,0.02,
Total Counts,323.84,369.64,136.93,139.71,96.09,27.53,0.01,9.66,244.03,23.00,462.57,74.20,317.28,137.68,85.70,0.05,


 16:11:17
Interval Count,26.57,0.00,0.00,0.00,0.00,2.14,0.00,0.00,0.11,0.00,45.18,0.00,66.18,1.29,0.13,0.00,
Average m/min.,10.62,0.00,0.00,0.00,0.00,0.86,0.00,0.00,0.04,0.00,18.07,0.00,26.47,0.52,0.05,0.00,
Distance,140.16,147.86,54.77,55.88,38.44,11.87,0.01,3.86,97.65,9.20,203.10,29.68,153.38,55.59,34.33,0.02,
Total Counts,350.41,369.64,136.93,139.71,96.09,29.67,0.01,9.66,244.13,23.00,507.75,74.20,383.46,138.97,85.83,0.05,


 16:12:17
